USER_ID,MONTH,THANK_YOU_STATUS,LTR,BOOKINGS,GMV
43793,2019-02-01,no_call,81.026,2,1214.021
43802,2018-04-01,no_call,178.446917,3,6014.175
44018,2018-04-01,no_call,194.009904,10,4678.128
44069,2018-11-01,no_call,935.205315,13,19967.333
44171,2018-09-01,thank_you_call,33.638968,1,838.508
44212,2019-01-01,no_call,497.859637,15,25942.323
44453,2018-07-01,thank_you_call,47.179,4,2071.042
44512,2019-05-01,no_call,47.795,2,1547.034
44522,2018-08-01,thank_you_call,10.219,2,675.427
44678,2018-01-01,thank_you_call,225.227189,9,3395.699
44825,2018-01-01,thank_you_call,287.508639,9,5905.817
44834,2019-03-01,no_call,497.31528,39,8791.465
45023,2018-03-01,no_call,250.357514,13,22082.762
45036,2018-01-01,thank_you_call,21.813495,1,526.456
45117,2018-04-01,thank_you_call,45.078,1,675.444
45130,2019-02-01,no_call,322.663,9,6521.642
45238,2019-01-01,no_call,191.034426,5,3592.678
45508,2018-09-01,no_call,14.08869,4,1648.983
45665,2018-02-01,no_call,43.593,2,1230.477
45827,2019-04-01,thank_you_call,80.839,2,1211.199
45884,2019-03-01,no_call,24.339898,3,4911.334
46010,2018-01-01,no_call,334.246,3,5008.115
46136,2019-03-01,no_call,1478.67237,4,15190.656
46273,2018-01-01,thank_you_call,184.694422,5,2613.852
46295,2019-05-01,thank_you_call,33.779812,2,628.269
46340,2018-07-01,no_call,103.268,4,2287.503
46357,2018-11-01,thank_you_call,39.195926,3,2070.566
46378,2018-02-01,thank_you_call,204.7089,7,3986.891
46781,2018-10-01,no_call,29.514232,1,735.692
46882,2018-04-01,thank_you_call,131.308573,6,4743.187
47251,2019-04-01,thank_you_call,64.904851,3,1326.68
47253,2018-01-01,no_call,117.909385,6,2039.711
47409,2018-02-01,thank_you_call,136.649634,5,2205.359
47749,2018-02-01,no_call,56.738,2,850
48069,2018-07-01,no_call,92.508999,6,3979.394
48332,2018-04-01,no_call,3.83196,2,1996.633
48463,2018-04-01,no_call,32.820865,3,758.625
48831,2018-02-01,thank_you_call,,,
48915,2017-12-01,no_call,415.967156,21,19174.368
48952,2019-02-01,no_call,38.225,1,572.764
49010,2018-07-01,no_call,212.81205,11,2682.175
49161,2018-01-01,thank_you_call,250.151,7,3280.286
49444,2018-03-01,no_call,59.628107,3,1356.719
49622,2018-07-01,no_call,35.360446,1,679.779
50104,2017-11-01,no_call,126.06,6,2201.432
50184,2018-01-01,no_call,,,
50676,2018-03-01,no_call,35.101,1,525.827
50817,2018-01-01,thank_you_call,34.639,1,518.857
50871,2018-06-01,no_call,42.757,3,1974.227
51007,2018-03-01,no_call,113.837284,4,1938.17
51011,2018-04-01,thank_you_call,39.765,1,595.833
51218,2018-08-01,thank_you_call,15.147,1,618.12
51287,2019-02-01,thank_you_call,93.445,4,1975.23
51394,2018-11-01,no_call,45.692416,4,1339.158
51886,2019-01-01,thank_you_call,35.662,1,534.259
52090,2018-09-01,no_call,178.75,5,3309.798
